State,Jan23 Force,Jan24 Force,Feb23 Force,Feb24 Force,Jan23 Unemp,Jan24 Unemp,Feb23 Unemp,Feb24 Unemp,Jan23 Unemp Perc,Jan24 Unemp Perc,Feb23 Unemp Perc,Feb24 Unemp Perc,State
Illinois,"6,344,950","6,422,103","6,383,366","6,436,617","296,532","325,450","297,097","340,804",4.7,5.1,4.7,5.3,Illinois
Bloomington,"93,423","96,233","96,320","98,170","3,647","4,267","3,847","4,241",3.9,4.4,4,4.3,Illinois
Carbondale-Marion,"55,769","57,347","57,534","58,483","2,569","2,934","2,608","2,853",4.6,5.1,4.5,4.9,Illinois
Champaign-Urbana,"121,856","127,099","125,118","129,925","4,909","5,820","5,146","5,768",4,4.6,4.1,4.4,Illinois
Chicago-Naperville-Elgin,"4,879,671","4,912,161","4,899,218","4,926,908","222,864","236,688","222,912","259,646",4.6,4.8,4.5,5.3,Illinois
Danville,"31,131","31,861","31,359","31,880","1,873","2,076","1,897","1,949",6,6.5,6,6.1,Illinois
Davenport-Moline-Rock Island(1),"184,627","182,797","184,954","182,344","8,631","9,571","8,621","8,814",4.7,5.2,4.7,4.8,Illinois
Decatur,"44,583","44,238","45,144","43,991","2,548","2,990","2,660","2,811",5.7,6.8,5.9,6.4,Illinois
Kankakee,"50,824","52,346","51,048","51,788","3,273","3,875","3,370","3,542",6.4,7.4,6.6,6.8,Illinois
Peoria,"164,988","168,985","166,353","168,312","8,859","10,472","9,100","9,700",5.4,6.2,5.5,5.8,Illinois
Rockford,"153,197","156,142","153,544","155,221","9,539","11,333","9,823","10,618",6.2,7.3,6.4,6.8,Illinois
Springfield,"102,312","101,313","102,946","100,673","4,601","5,111","4,656","4,825",4.5,5,4.5,4.8,
Indiana,"3,362,500","3,329,451","3,379,540","3,351,491","122,182","127,607","128,011","139,810",3.6,3.8,3.8,4.2,Indiana
Bloomington,"80,821","79,063","81,901","80,472","2,675","3,000","2,978","3,560",3.3,3.8,3.6,4.4,Indiana
Columbus,"43,756","42,810","43,918","43,159","1,289","1,495","1,376","1,615",2.9,3.5,3.1,3.7,Indiana
Elkhart-Goshen,"111,088","106,224","113,605","106,401","6,205","4,343","4,728","4,661",5.6,4.1,4.2,4.4,Indiana
Evansville,"156,190","154,326","156,964","154,793","5,196","5,683","5,631","6,151",3.3,3.7,3.6,4,Indiana
Fort Wayne,"220,003","217,421","220,156","218,697","7,045","7,695","7,569","8,433",3.2,3.5,3.4,3.9,Indiana
Indianapolis-Carmel-Anderson,"1,105,764","1,106,291","1,107,518","1,113,400","34,164","37,598","37,358","41,557",3.1,3.4,3.4,3.7,Indiana
Kokomo,"33,551","32,974","33,683","33,096","1,657","1,840","1,877","1,910",4.9,5.6,5.6,5.8,Indiana
Lafayette-West Lafayette,"112,654","111,389","114,707","113,575","3,485","3,677","3,802","4,377",3.1,3.3,3.3,3.9,Indiana
Michigan City-La Porte,"47,118","46,762","47,286","46,927","2,205","2,341","2,346","2,462",4.7,5,5,5.2,Indiana
Muncie,"50,896","51,161","51,693","51,979","2,026","2,268","2,213","2,644",4,4.4,4.3,5.1,Indiana
South Bend-Mishawaka,"154,722","153,312","156,034","154,230","6,927","6,642","6,948","7,291",4.5,4.3,4.5,4.7,Indiana
Terre Haute,"70,725","70,076","71,389","70,592","2,997","3,151","3,232","3,465",4.2,4.5,4.5,4.9,Indiana
Iowa,"1,699,805","1,687,432","1,717,095","1,691,276","61,010","61,051","56,285","55,998",3.6,3.6,3.3,3.3,
Ames,"57,949","57,634","60,705","59,651","1,244","1,441","1,181","1,144",2.1,2.5,1.9,1.9,Iowa
Cedar Rapids,"143,416","141,359","143,808","142,413","5,728","5,645","5,245","6,057",4,4,3.6,4.3,Iowa
Des Moines-West Des Moines,"378,764","375,500","379,926","375,610","12,820","12,753","11,516","11,522",3.4,3.4,3,3.1,Iowa
Dubuque,"56,106","55,957","56,719","55,865","2,122","2,124","1,979","1,925",3.8,3.8,3.5,3.4,Iowa
Iowa City,"97,474","98,572","98,542","99,149","2,552","2,643","2,402","2,399",2.6,2.7,2.4,2.4,Iowa
Sioux City,"93,404","91,941","93,940","91,869","2,766","3,048","2,707","2,773",3,3.3,2.9,3,Iowa
Waterloo-Cedar Falls,"86,577","85,445","88,026","86,169","3,116","3,188","2,907","2,771",3.6,3.7,3.3,3.2,Iowa
Kansas,"1,502,551","1,497,130","1,512,850","1,504,871","43,363","41,159","46,955","48,219",2.9,2.7,3.1,3.2,
Lawrence,"66,678","66,199","67,598","67,820","1,906","1,784","2,007","2,071",2.9,2.7,3,3.1,Kansas
Manhattan,"47,990","47,222","48,685","48,664","1,340","1,217","1,371","1,457",2.8,2.6,2.8,3,Kansas
Topeka,"121,089","121,765","122,310","122,567","3,696","3,516","4,062","3,876",3.1,2.9,3.3,3.2,Kansas
Wichita,"319,953","320,441","323,024","322,192","10,175","10,104","10,605","11,172",3.2,3.2,3.3,3.5,Kansas
Kentucky,"2,017,840","2,010,176","2,024,912","2,023,633","89,897","96,479","95,533","103,586",4.5,4.8,4.7,5.1,
Bowling Green,"83,805","85,077","84,717","86,284","3,494","3,905","3,794","4,266",4.2,4.6,4.5,4.9,Kentucky
Elizabethtown-Fort Knox,"64,103","64,611","64,506","64,943","3,058","3,067","3,194","3,354",4.8,4.7,5,5.2,Kentucky
Lexington-Fayette,"271,381","272,221","272,408","274,215","9,121","10,391","9,868","11,428",3.4,3.8,3.6,4.2,Kentucky
Louisville/Jefferson County,"658,905","649,405","660,927","652,684","26,925","26,728","28,403","28,860",4.1,4.1,4.3,4.4,Kentucky
Owensboro,"51,971","51,664","52,249","51,958","2,348","2,597","2,656","2,726",4.5,5,5.1,5.2,Kentucky
Louisiana,"2,054,735","2,057,302","2,065,795","2,061,311","77,682","89,297","72,144","90,772",3.8,4.3,3.5,4.4,
Alexandria,"61,956","62,595","62,103","62,580","2,216","2,609","2,054","2,698",3.6,4.2,3.3,4.3,Louisiana
Baton Rouge,"421,395","426,254","425,524","428,412","14,357","16,380","13,114","16,429",3.4,3.8,3.1,3.8,Louisiana
Hammond,"56,409","57,236","56,786","57,115","2,507","2,814","2,316","2,845",4.4,4.9,4.1,5,Louisiana
Houma-Thibodaux,"84,643","86,098","84,970","86,011","2,961","3,316","2,740","3,486",3.5,3.9,3.2,4.1,Louisiana
Lafayette,"211,107","212,556","211,703","212,343","7,459","8,709","7,062","9,038",3.5,4.1,3.3,4.3,Louisiana
Lake Charles,"93,258","93,594","93,792","93,816","3,396","3,738","3,129","3,821",3.6,4,3.3,4.1,Louisiana
Monroe,"78,317","77,503","78,416","77,624","3,037","3,504","2,835","3,641",3.9,4.5,3.6,4.7,Louisiana
New Orleans-Metairie,"582,256","576,078","585,330","579,403","22,241","25,704","20,713","25,954",3.8,4.5,3.5,4.5,Louisiana
Shreveport-Bossier City,"183,378","181,953","184,520","182,019","7,079","8,128","6,635","8,385",3.9,4.5,3.6,4.6,Louisiana
Maine,"673,836","682,962","675,368","687,858","20,385","25,927","21,635","26,643",3,3.8,3.2,3.9,
Bangor,"67,265","69,385","67,759","69,899","1,905","2,440","1,966","2,563",2.8,3.5,2.9,3.7,Maine
Lewiston-Auburn,"53,699","54,178","53,573","54,533","1,600","1,941","1,723","2,006",3,3.6,3.2,3.7,Maine
Portland-South Portland,"205,605","209,016","206,107","210,169","4,820","6,371","4,951","6,385",2.3,3,2.4,3,Maine
Maryland,"3,143,168","3,160,540","3,156,933","3,175,959","81,382","87,781","79,592","92,259",2.6,2.8,2.5,2.9,
Baltimore-Columbia-Towson,"1,469,666","1,474,739","1,473,961","1,481,432","37,585","40,902","36,789","41,857",2.6,2.8,2.5,2.8,Maryland
California-Lexington Park,"57,368","58,414","58,001","58,790","1,373","1,429","1,359","1,528",2.4,2.4,2.3,2.6,Maryland
Cumberland,"42,387","43,175","42,699","43,425","1,643","1,926","1,544","1,835",3.9,4.5,3.6,4.2,Maryland
Hagerstown-Martinsburg,"130,123","129,253","130,657","129,672","3,820","4,393","3,942","4,725",2.9,3.4,3,3.6,Maryland
Massachusetts,"3,737,343","3,768,376","3,747,534","3,752,127","151,402","132,416","151,941","137,643",4.1,3.5,4.1,3.7,
Barnstable Town,"117,030","121,446","117,306","120,284","7,225","6,080","7,547","6,370",6.2,5,6.4,5.3,Massachusetts
Boston-Cambridge-Nashua,"2,793,855","2,812,764","2,798,053","2,800,891","98,994","89,616","98,102","93,790",3.5,3.2,3.5,3.3,Massachusetts
Leominster-Gardner,"78,282","78,973","78,679","78,943","3,791","3,192","3,906","3,418",4.8,4,5,4.3,Massachusetts
New Bedford,"84,587","84,890","84,724","84,629","5,202","4,385","5,385","4,575",6.1,5.2,6.4,5.4,Massachusetts
Pittsfield,"40,655","41,026","40,335","40,753","2,069","1,598","2,073","1,673",5.1,3.9,5.1,4.1,Massachusetts
Springfield,"362,832","365,997","364,777","365,455","16,895","14,943","16,726","15,551",4.7,4.1,4.6,4.3,Massachusetts
Worcester,"356,671","360,103","356,672","358,650","14,864","13,255","15,183","13,979",4.2,3.7,4.3,3.9,Massachusetts
Michigan,"4,891,117","4,989,311","4,915,208","5,002,877","221,677","200,570","214,923","211,938",4.5,4,4.4,4.2,
Ann Arbor,"196,598","201,121","197,797","202,512","6,672","5,753","6,739","6,163",3.4,2.9,3.4,3,Michigan
Battle Creek,"60,982","61,376","61,274","61,847","2,955","2,597","2,973","2,797",4.8,4.2,4.9,4.5,Michigan
Bay City,"49,205","49,887","49,321","50,218","3,026","2,554","3,124","2,735",6.1,5.1,6.3,5.4,Michigan
Detroit-Warren-Dearborn,"2,129,792","2,191,917","2,130,362","2,176,471","85,480","85,653","78,325","86,899",4,3.9,3.7,4,Michigan
Flint,"181,145","182,661","181,652","183,990","10,546","9,044","10,524","9,668",5.8,5,5.8,5.3,Michigan
Grand Rapids-Wyoming,"595,476","602,196","598,917","606,204","20,803","17,920","20,954","19,516",3.5,3,3.5,3.2,Michigan
Jackson,"74,089","74,880","74,464","75,361","3,500","2,949","3,500","3,173",4.7,3.9,4.7,4.2,Michigan
Kalamazoo-Portage,"168,323","168,939","169,460","170,688","7,395","6,222","7,464","6,846",4.4,3.7,4.4,4,Michigan
Lansing-East Lansing,"244,324","250,165","251,804","258,683","11,620","9,171","10,276","9,948",4.8,3.7,4.1,3.8,Michigan
Midland,"40,296","40,441","40,455","40,864","1,900","1,579","1,970","1,745",4.7,3.9,4.9,4.3,Michigan
Monroe,"75,457","77,995","75,995","78,421","3,705","3,253","3,728","3,369",4.9,4.2,4.9,4.3,Michigan
Muskegon,"76,946","79,056","77,188","79,559","3,869","3,349","3,896","3,583",5,4.2,5,4.5,Michigan
Niles-Benton Harbor,"71,748","74,103","72,424","74,510","3,691","3,170","3,613","3,375",5.1,4.3,5,4.5,Michigan
Saginaw,"83,161","83,902","83,244","84,351","5,094","4,291","5,319","4,609",6.1,5.1,6.4,5.5,Michigan
Minnesota,"3,070,305","3,078,519","3,086,692","3,095,510","101,264","100,642","106,305","111,742",3.3,3.3,3.4,3.6,
Duluth,"139,651","139,972","142,261","141,165","5,698","5,409","6,176","6,143",4.1,3.9,4.3,4.4,Minnesota
Mankato-North Mankato,"61,493","61,774","62,341","62,128","1,642","1,661","1,746","1,923",2.7,2.7,2.8,3.1,Minnesota
Minneapolis-St. Paul-Bloomington,"2,001,931","2,009,856","2,010,479","2,023,408","58,521","59,916","62,651","67,713",2.9,3,3.1,3.3,Minnesota
Rochester,"126,076","129,376","126,707","129,857","3,655","3,481","3,784","3,932",2.9,2.7,3,3,Minnesota
St. Cloud,"111,543","112,226","112,299","112,421","4,250","4,009","4,345","4,301",3.8,3.6,3.9,3.8,Minnesota
Mississippi,"1,223,768","1,218,125","1,230,744","1,225,897","42,890","41,427","40,563","33,817",3.5,3.4,3.3,2.8,
Gulfport-Biloxi-Pascagoula,"161,460","162,513","162,906","163,656","5,645","5,442","5,315","4,452",3.5,3.3,3.3,2.7,Mississippi
Hattiesburg,"68,164","68,037","68,657","68,637","2,114","2,000","2,021","1,644",3.1,2.9,2.9,2.4,Mississippi
Jackson,"257,458","257,804","259,091","259,846","7,774","7,575","7,540","6,240",3,2.9,2.9,2.4,Mississippi
Missouri,"3,035,126","3,078,861","3,053,467","3,096,747","96,940","117,123","99,331","122,992",3.2,3.8,3.3,4,
Cape Girardeau,"47,139","47,422","47,449","48,190","1,410","1,651","1,330","1,649",3,3.5,2.8,3.4,Missouri
Columbia,"98,481","99,640","100,817","101,647","2,506","2,953","2,433","2,893",2.5,3,2.4,2.8,Missouri
Jefferson City,"74,257","76,400","74,757","76,422","2,000","2,487","2,003","2,446",2.7,3.3,2.7,3.2,Missouri
Joplin,"83,878","84,544","84,113","85,016","2,424","3,054","2,432","3,182",2.9,3.6,2.9,3.7,Missouri
Kansas City,"1,145,485","1,151,980","1,149,380","1,155,776","33,663","38,303","37,031","41,608",2.9,3.3,3.2,3.6,Missouri
St. Joseph,"59,102","60,012","59,567","59,973","1,715","2,139","1,847","2,122",2.9,3.6,3.1,3.5,Missouri
St. Louis(2),"1,447,035","1,470,799","1,450,984","1,476,552","48,546","56,700","47,422","58,578",3.4,3.9,3.3,4,Missouri
Springfield,"240,810","246,158","243,227","247,647","6,441","7,904","6,403","8,138",2.7,3.2,2.6,3.3,Missouri
Montana,"564,451","571,504","568,135","575,660","18,548","22,741","17,961","22,139",3.3,4,3.2,3.8,
Billings,"92,512","93,589","93,315","94,841","2,573","3,349","2,473","3,233",2.8,3.6,2.7,3.4,Montana
Great Falls,"39,241","39,569","39,269","39,793","1,237","1,604","1,180","1,541",3.2,4.1,3,3.9,Montana
Missoula,"68,013","68,743","68,732","69,104","2,242","2,953","2,132","2,777",3.3,4.3,3.1,4,Montana
Nebraska,"1,041,589","1,046,472","1,048,878","1,050,384","23,565","28,092","24,610","30,438",2.3,2.7,2.3,2.9,
Grand Island,"45,802","46,934","45,905","46,238","1,099","1,991","1,091","1,357",2.4,4.2,2.4,2.9,Nebraska
Lincoln,"186,098","188,008","189,808","191,731","3,839","4,446","4,065","4,992",2.1,2.4,2.1,2.6,Nebraska
Omaha-Council Bluffs,"496,408","500,001","499,597","505,086","12,734","14,963","13,183","16,180",2.6,3,2.6,3.2,Nebraska
Nevada,"1,582,999","1,608,676","1,596,803","1,617,784","85,327","83,823","84,205","81,432",5.4,5.2,5.3,5,
Carson City,"25,677","25,832","25,935","26,047","1,315","1,224","1,263","1,259",5.1,4.7,4.9,4.8,Nevada
Las Vegas-Henderson-Paradise,"1,174,791","1,196,095","1,180,638","1,201,452","66,289","64,747","65,641","62,744",5.6,5.4,5.6,5.2,Nevada
Reno,"259,312","264,234","264,752","267,230","11,542","11,595","11,174","11,316",4.5,4.4,4.2,4.2,Nevada
New Hampshire,"758,653","764,225","757,589","762,782","18,814","19,730","17,050","22,453",2.5,2.6,2.3,2.9,
Dover-Durham,"83,297","83,707","84,096","84,936","1,929","2,109","1,708","2,283",2.3,2.5,2,2.7,New Hampshire
Manchester,"120,704","121,790","120,311","122,080","2,822","3,023","2,499","3,436",2.3,2.5,2.1,2.8,New Hampshire
Portsmouth,"76,566","78,513","76,425","78,504","1,738","1,934","1,623","2,173",2.3,2.5,2.1,2.8,New Hampshire
New Jersey,"4,786,023","4,769,527","4,820,462","4,808,545","204,468","246,107","217,393","245,503",4.3,5.2,4.5,5.1,
Atlantic City-Hammonton,"120,426","121,928","122,213","123,587","7,761","9,167","8,002","8,954",6.4,7.5,6.5,7.2,New Jersey
Ocean City,"41,703","46,846","42,012","47,181","5,295","5,838","5,415","5,584",12.7,12.5,12.9,11.8,New Jersey
Trenton,"218,236","216,020","219,916","218,683","7,823","9,428","8,278","9,366",3.6,4.4,3.8,4.3,New Jersey
Vineland-Bridgeton,"69,599","69,476","70,050","69,796","4,736","5,636","4,940","5,510",6.8,8.1,7.1,7.9,New Jersey
New Mexico,"951,616","958,940","959,722","966,553","36,078","38,930","36,062","36,324",3.8,4.1,3.8,3.8,
Albuquerque,"445,762","448,989","449,457","451,205","15,419","17,030","15,296","15,618",3.5,3.8,3.4,3.5,New Mexico
Farmington,"50,521","49,618","50,634","49,761","2,217","2,310","2,223","2,161",4.4,4.7,4.4,4.3,New Mexico
Las Cruces,"100,573","101,233","101,664","103,053","4,466","4,856","4,549","4,720",4.4,4.8,4.5,4.6,New Mexico
Santa Fe,"71,754","72,257","72,176","73,133","2,370","2,544","2,368","2,337",3.3,3.5,3.3,3.2,New Mexico
New York,"9,601,305","9,650,060","9,652,627","9,716,148","433,084","419,764","441,555","441,740",4.5,4.3,4.6,4.5,
Albany-Schenectady-Troy,"451,671","455,427","453,527","457,156","15,934","17,494","16,092","18,221",3.5,3.8,3.5,4,New York
Binghamton,"104,011","105,224","104,126","105,636","4,675","5,082","4,570","5,083",4.5,4.8,4.4,4.8,New York
Buffalo-Cheektowaga-Niagara Falls,"541,588","546,063","540,036","547,634","23,092","25,856","23,094","26,495",4.3,4.7,4.3,4.8,New York
Elmira,"34,295","34,690","33,935","34,482","1,498","1,552","1,542","1,602",4.4,4.5,4.5,4.6,New York
Glens Falls,"57,550","58,215","57,702","58,127","2,479","2,788","2,537","2,955",4.3,4.8,4.4,5.1,New York
Ithaca,"47,280","48,057","50,166","49,112","1,666","1,700","1,541","1,695",3.5,3.5,3.1,3.5,New York
Kingston,"86,384","88,172","86,939","88,357","3,210","3,638","3,214","3,781",3.7,4.1,3.7,4.3,New York
New York-Newark-Jersey City,"10,266,714","10,268,679","10,336,239","10,352,484","458,258","464,202","477,750","483,218",4.5,4.5,4.6,4.7,New York
Rochester,"518,416","524,250","519,820","526,221","20,299","22,613","20,217","23,321",3.9,4.3,3.9,4.4,New York
Syracuse,"304,384","307,794","305,450","308,767","12,557","13,632","12,427","13,884",4.1,4.4,4.1,4.5,New York
Utica-Rome,"127,124","127,740","127,201","127,653","5,637","5,961","5,517","6,105",4.4,4.7,4.3,4.8,New York
Watertown-Fort Drum,"43,139","44,207","43,003","44,151","2,324","2,657","2,307","2,696",5.4,6,5.4,6.1,New York
North Carolina,"5,165,082","5,238,065","5,191,260","5,244,157","194,644","189,662","193,681","194,278",3.8,3.6,3.7,3.7,
Asheville,"238,467","239,582","239,425","239,474","7,406","6,996","7,430","7,407",3.1,2.9,3.1,3.1,North Carolina
Burlington,"83,712","86,233","85,222","86,282","3,077","2,974","3,018","3,027",3.7,3.4,3.5,3.5,North Carolina
Charlotte-Concord-Gastonia,"1,436,334","1,456,914","1,441,902","1,457,277","51,211","51,087","51,253","52,900",3.6,3.5,3.6,3.6,North Carolina
Durham-Chapel Hill,"317,947","324,285","319,837","324,743","10,224","9,951","10,123","10,248",3.2,3.1,3.2,3.2,North Carolina
Fayetteville,"149,096","151,092","149,417","150,572","7,654","7,257","7,603","7,387",5.1,4.8,5.1,4.9,North Carolina
Goldsboro,"51,253","51,515","51,702","51,882","2,060","2,003","2,026","1,961",4,3.9,3.9,3.8,North Carolina
Greensboro-High Point,"363,140","365,848","363,531","366,037","15,124","14,799","15,060","15,032",4.2,4,4.1,4.1,North Carolina
Greenville,"88,646","89,945","89,036","90,025","3,667","3,549","3,605","3,596",4.1,3.9,4,4,North Carolina
Hickory-Lenoir-Morganton,"174,001","173,962","174,528","173,415","6,013","5,959","6,025","6,208",3.5,3.4,3.5,3.6,North Carolina
Jacksonville,"68,801","70,007","68,877","70,071","3,005","2,919","2,973","2,997",4.4,4.2,4.3,4.3,North Carolina
New Bern,"52,406","52,831","52,506","52,804","2,005","1,850","1,996","1,885",3.8,3.5,3.8,3.6,North Carolina
Raleigh,"778,605","800,990","783,544","801,936","24,827","25,692","25,057","26,416",3.2,3.2,3.2,3.3,North Carolina
Rocky Mount,"62,065","62,155","62,299","62,277","3,463","3,126","3,387","3,179",5.6,5,5.4,5.1,North Carolina
Wilmington,"161,270","164,760","162,192","165,264","5,655","5,466","5,545","5,511",3.5,3.3,3.4,3.3,North Carolina
Winston-Salem,"328,791","329,958","329,648","328,806","12,140","11,593","11,971","11,773",3.7,3.5,3.6,3.6,North Carolina
North Dakota,"409,641","412,479","413,037","414,024","10,041","10,446","10,420","10,887",2.5,2.5,2.5,2.6,
